"Código SIEX";"Sustancia activa o formulado";"Producto comercial";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Ciantraniliprol 62,5% [FS] P/V";"Tratamiento y posterior siembra de semillas de maíz tratadas con productos fitosanitarios formulados a base de Ciantraniliprol 62,5% [FS] P/V";08/08/2024;08/08/2024;11/11/2025
"2";"Lambda cihalotrin 22,2% [CS] P/V";"Tratamiento y posterior siembra de semillas de girasol tratadas con productos fitosanitarios formulados a base de Lambda cihalotrin 22% [CS] P/V";08/08/2024;18/12/2024;12/08/2025
"3";"Petoxamida 60% [EC] P/V";"Productos fitosanitarios formulados a base de Petoxamida 60% [EC] P/V para su uso en la quinoa";08/08/2024;08/08/2024;14/02/2025
"4";"Metam Sodio 51% [SL] P/V";"Productos fitosanitarios formulados a base de Metam Sodio 51% [SL] P/V para la desinfección de suelos en los cultivos de tomate, pimiento, viveros de fresa, frambuesa y mora, patata, piña tropical y tabaco";08/08/2024;18/03/2025;18/03/2025
"5";"Piretrinas 170mg/dispensador+FEROMONAS SEXUALES (3-Methyl-6-isopropenyl-9-decenyl acetate, (1R,3R)-cis-2,2-Dimethyl-3-isopropenylcyclobutanemethanolacetate and (4,5,5-trimethyl-3-methylencyclopent-1-en-1-yl)methyl) acetate) 0,8% P/P";"Productos fitosanitarios formulados a base de Piretrinas 170mg/dispensador + FEROMONAS SEXUALES (3-Methyl-6-isopropenyl-9 - decenyl acetate, (1R,3R) - cis-2,2-Dimethyl-3-isopropenylcyclobutanemethanol acetate y (4,5,5-trimethyl-3-methylencyclopent-1-en-1-yl)methyl) acetate) 0,8% P/P para su uso en cítricos";08/08/2024;30/05/2025;
"6";"Z-7- tetradecenal 150-200 mg s.a./difusor [VP]";"Productos fitosanitarios formulados a base de Z-7- tetradecenal 150-200 mg s.a./difusor [VP] para su uso en ell limonero";08/08/2024;04/04/2025;11/11/2025
"7";"Acetamiprid 20% [SP] P/P";"Productos fitosanitarios formulados a base de Acetamiprid 20% [SP] P/P para su uso en remolacha azucarera";08/08/2024;16/04/2026;
"8";"Clorantraniliprol 35% [WG] P/P";"Productos fitosanitarios formulados a base de Clorantraniliprol 35% [WG] P/P para su uso en alcachofa";08/08/2024;08/08/2024;
"9";"Acetamiprid 20% [SP] P/P";"Productos fitosanitarios formulados a base de Acetamiprid 20% [SP] P/P para su uso en remolacha azucarera";08/08/2024;08/08/2024;09/10/2024
"10";"Flonicamida 50% [WG] P/P";"Productos fitosanitarios formulados a base de Flonicamida 50% [WG] P/P para su uso en remolacha azucarera";08/08/2024;18/03/2026;
"11";"Benzobicyclon 40% [SC] P/V";"Productos fitosanitarios formulados a base de Benzobicyclon 40% [SC] P/V para su uso en arroz";08/08/2024;18/03/2026;
"12";"Extracto natural de semillas de Camellia sp. 20% P/V [SL]";"Productos fitosanitarios formulados a base de extracto natural de semillas de Camellia sp. -20% P/V [SL] para su uso en arroz";08/08/2024;06/05/2026;
"13";"Extracto natural de semillas de Camellia sp. 15% P/P [GR]";"Productos fitosanitarios formulados a base de extracto natural de semillas de Camellia sp. -15% P/P [GR] para su uso en arroz";04/07/2024;06/05/2026;
"14";"Lambda Cihalotrin 1,5% [CS] P/V";"Productos fitosanitarios formulados a base de Lambda Cihalotrin 1,5% [CS] P/V para aplicación aérea en eriales y arándanos";08/08/2024;12/06/2026;
"15";"Azadiractin 2,6% [EC] p/v";"Productos fitosanitarios formulados a base de Azadiractin 2,6% [EC] p/v para su uso en pastos, eriales, cerezo, melocotonero (se incluye nectarina, paraguayo y platerina), albaricoquero, manzano, sandía y barbecho";08/08/2024;07/07/2025;11/11/2025
"16";"Fluxapyroxad 30% [SC] P/V";"Productos fitosanitarios formulados a base de Fluxapyroxad 30% [SC] P/V para su uso en caqui";08/08/2024;08/08/2024;14/02/2025
"17";"Abamectina 1,8 % [EW] P/V";"Productos fitosanitarios formulados a base de Abamectina 1,8 % [EW] P/V para su uso en cultivo protegido por macrotuneles de fresa, frambuesa y mora";08/08/2024;18/03/2025;
"18";"Spinetoram 25% [WG] P/V";"Productos fitosanitarios formulados a base de Spinetoram 25% [WG] P/V para su uso en naranjo y mandarino";08/08/2024;08/08/2024;18/03/2025
"19";"Ciantraniliprole 10% [OD] P/V";"Productos fitosanitarios formulados a base de Ciantraniliprole 10% [OD] P/V para su uso en cebolla, ajo, brécol, repollo y coliflor";08/08/2024;06/05/2026;
"20";"Spirotetramat 10% [SC] P/V";"Productos fitosanitarios formulados a base de Spirotetramat 10% [SC] P/V para su uso en remolacha azucarera";08/08/2024;08/08/2024;14/02/2025
"21";"Sulfoxaflor 12% [SC] P/V";"Productos fitosanitarios formulados a base de Sulfoxaflor 12% [SC] P/V para su uso en brócoli, repollo, coliflor, coles chinas, apio, lechuga y similares, espinaca, acelga y hierbas aromáticas, caqui, cítricos (excepto lima), vid de mesa y granado";08/08/2024;06/05/2026;
"22";"Spinosad 48% [SC] P/V";"Productos fitosanitarios formulados a base de Spinosad 48% [SC] P/V para su uso en granado, caqui y cítricos";08/08/2024;16/04/2026;
"23";"Carfentrazona-etil 6% [ME] P/V";"Productos fitosanitarios formulados a base de Carfentrazona-etil 6% [ME] P/V para su uso en camelina, colza y girasol";08/08/2024;09/10/2024;14/02/2025
"24";"Fluroxipir 20% [EC] P/V";"Productos fitosanitarios formulados a base de Fluroxipir 20% [EC] P/V en aplicación aérea para su uso en maíz para palomitas y para fabricación de snacks";08/08/2024;08/08/2024;14/02/2025
"25";"Carfentrazona-etil 6% [ME] P/V";"Productos fitosanitarios formulados a base de Carfentrazona-etil 6% [ME] P/V para su uso en colza";08/08/2024;08/08/2024;09/10/2024
"26";"Metalaxil 25%, WP [P/P]";"Productos fitosanitarios formulados a base de Metalaxil 25%, WP [P/P] para su uso en tabaco y camelina";08/08/2024;16/04/2026;
"27";"Abamectina 1,8 % [EC] P/V";"Productos fitosanitarios formulados a base de Abamectina 1,8 % [EC] P/V para su uso en maíz, melocotonero, paraguayo, nectarino, albaricoquero, ciruelo y peral";08/08/2024;30/05/2025;02/03/2026
"28";"Acetamiprid 20% [SL] P/V";"Productos fitosanitarios formulados a base de Acetamiprid 20% [SL] P/P para su uso en nogal, avellano y pistachero";08/08/2024;12/06/2026;
"29";"Spinosad 48% [SC] P/V";"Productos fitosanitarios formulados a base de Spinosad 48% [SC] P/V para su suo en caqui";08/08/2024;08/08/2024;09/10/2024
"30";"Milbemectina 0,93% [EC] P/V";"Productos fitosanitarios formulados a base de Milbemectina 0,93% [EC] P/V para su uso en platanera";08/08/2024;04/04/2025;02/03/2026
"31";"Ciantraniliprole 10% [OD] P/V";"Productos fitosanitarios formulados a base de Ciantraniliprole 10% [OD] P/V para su uso en zanahoria";08/08/2024;08/08/2024;14/02/2025
"32";"Metam Sodio 51% [SL] P/V";"Productos fitosanitarios formulados a base de Metam Sodio 51% [SL] P/V para su uso en el cultivo al aire libre de la fresa";08/08/2024;29/01/2025;04/04/2025
"33";"SCLP (E,E) 8-10 Dodecadien-1-il Acetato 4,17% P/P [VP]";"Productos fitosanitarios formulados a base de SCLP (E,E) 8-10 Dodecadien-1-il Acetato 4,17% P/P [VP] para su uso en el cultivo del castaño";08/08/2024;08/08/2024;14/02/2025
"34";"Azoxistrobin 25% [SC] P/V";"Productos fitosanitarios formulados a base de Azoxistrobin 25% [SC] P/V para la aplicación aérea en el cultivo del arroz";08/08/2024;08/08/2024;14/02/2025
"35";"Azoxistrobin 20% + Difenoconazol 12,5% [SC] P/V";"Productos fitosanitarios formulados a base de Azoxistrobin 20% + Difenoconazol 12,5% [SC] P/V para la aplicación aérea en el cultivo del arroz";08/08/2024;07/07/2025;02/03/2026
"36";"Tidiazurón 50% [WP] P/P";"Productos fitosanitarios formulados a base de Tidiazurón 50% [WP] P/P para su uso en el cultivo del algodón";08/08/2024;12/08/2025;02/03/2026
"37";"Fluopyram 25% + Trifloxistrobin 25% [SC] P/V";"Productos fitosanitarios formulados a base de Fluopyram 25% + Trifloxistrobin 25% [SC] P/V para su uso en el cultivo del lúpulo";08/08/2024;12/08/2025;02/03/2026
"38";"Oxifluorfen 24% [EC] P/V";"Productos fitosanitarios formulados a base de Oxifluorfen 24% [EC] P/V para su uso en el cultivo del tabaco";08/08/2024;07/07/2025;02/03/2026
"39";"Carfentrazona-etil 6% [ME] P/V";"Productos fitosanitarios formulados a base de Carfentrazona-etil 6% [ME] P/V para su uso en el cultivo del girasol";08/08/2024;08/08/2024;09/10/2024
"40";"Ciantraniliprol 20% [SC] P/V";"Productos fitosanitarios formulados a base de Ciantraniliprol 20% [SC] P/V para su uso en Lechuga y similares, acelga, verdolaga, brécol, coliflor, col de Bruselas y repollo";01/10/2024;18/03/2026;
"41";"Acetamiprid 20% [SG] P/P";"Productos fitosanitarios formulados a base de Acetamiprid 20% [SG] P/P para su uso en almendro, melocotonero y nectarino";01/10/2024;;14/02/2025
"42";"Lambda cihalotrin 22% [CS] P/V";"Tratamiento de semillas de girasol y posterior siembra de semillas tratadas con productos fitosanitarios formulados a base de Lambda cihalotrin 22% [CS] P/V";01/10/2024;01/10/2024;02/10/2024
"43";"Lambda cihalotrin 10% [CS] P/V";"Productos fitosanitarios a base de Lambda cihalotrin 10% [SC] P/V para su uso en tratamientos insecticidas contra Euwallacea fornicatus sensu lato en aguacates sin fruto, vegetales ornamentales y plantas de especies adventicias";15/11/2024;16/04/2026;
"44";"Fluxapyroxad 30% [SC] P/V";"Productos fitosanitarios a base de Fluxapyroxad 30% [SC] P/V para su uso en tratamientos fungicidas contra Dactylium dendroides en el cultivo del champiñón";15/11/2024;15/11/2024;04/04/2025
"45";"Ciantraniliprol 10% [SE] P/V";"Productos fitosanitarios formulado a base de Ciantraniliprol 10% [SE] P/V para su uso en tratamientos insecticia contra cleonus (Temnorhinus mendicus) en el cultivo de la remolacha azucarera";18/12/2024;20/02/2025;15/10/2025
"46";"Metalaxil 2%+Protioconazol 10% [FS] P/V";"Tratamiento de semillas de sorgo y su posterior siembra con productos fitosanitarios formulados a base de Metalaxil 2%+Protioconazol 10% [FS] P/V";29/01/2025;29/01/2025;02/03/2026
"47";"Aceite de Parafina (CAS 64742-46-7) 79% [EC] P/v";"Productos fitosanitrios formulados a base de Aceite de Parafina (CAS 64742-46-7) 79% [EC] P/V contra Aphis citricidus en cítricos";29/01/2025;;15/10/2025
"48";"Metam sodio 51% [SL] P/V";"Productos fitosanitarios formulados a base de Metam sodio 51% [SC] P/V para la desinfección de suelo en el cultivo del tomate, pimiento, tabaco, viveros de fresa, frambuesa y mora, frambueso, fresal";29/01/2025;16/04/2026;
"49";"Piretrinas 4,65% (como extracto de pelitre) [EC] P/V";"Productos fitosanitarios formulados a base de Piretrinas 4,65% (como extracto de pelitre) [EC] P/V contra algodoncillo (Euphyllura olivina) en el olivo";14/02/2025;16/04/2026;
"50";"Flupiradifurona 20% [SL] P/V";"Productos fitosanitarios formulados a base de Flupiradifurona 20% [SL] P/V contra la cochinilla del aguacate (Nipaecoccus nipae) en el aguacate";14/02/2025;;22/04/2025
"51";"Z-7-Tetradecenal 54 g/kg [AE] y 150 mg s.a/difusor [VP]";"Productos fitosanitarios formulados a base de Z-7-Tetradecenal 54 g/kg [AE] y 150 mg s.a/difusor [VP]para el control de la polilla del olivo (Prays oleae) por el sistema de confusión sexual en el olivo";14/02/2025;04/04/2025;11/11/2025
"52";"Ciantraniliprol 10% [OD] P/V";"Productos fitosanitarios formulado a base de Ciantraniliprol 10% [OD] P/V para su uso en apio";20/02/2025;18/03/2025;02/03/2026
"53";"Ciantraniliprol 10% [OD] P/V";"Productos fitosanitarios formulados a base Ciantraniliprol 10% [OD] P/V para su uso en cebolla y ajo";03/03/2025;18/03/2025;04/04/2025
"54";"Equisetum arvense L";"Sustancia básica Equisetum arvense L, para la aplicación por medios aéreos para el control de mildiu en el cultivo de la patata";18/03/2025;18/03/2025;15/10/2025
"55";"Ciazofamida 10% [SC] P/V";"Productos fitosanitarios formulados a base de Ciazofamida 10% [SC] P/V para la aplicación por medios aéreos para el control de mildiu en el cultivo de la patata";18/03/2025;;15/10/2025
"56";"Lambda cihalotrin 10% [CS] P/V";"Productos fitosanitarios formulados a base de Lambda Cihalotrin 10% [CS] P/V en aplicación aérea en eriales";04/04/2025;18/03/2026;
"57";"Fenpicoxamid 5% + Protioconazol 10% [EC] P/V";"Productos fitosanitarios formulados a base de fenpicoxamid 5% + protioconazol 10% [EC] PV en el cultivo de la remocha azucarera";04/04/2025;;02/03/2026
"58";"Ciantraniliprol 10% [SE] P/V";"Productos fitosanitarios formulados a base de Ciantraniliprol 10% [SE] P/V en el cultivo de la vid de mesa";04/04/2025;16/04/2026;
"59";"Ciantraniliprol 10% [SE] P/V";"Productos fitosanitarios formulados a base de Ciantraniliprol 10% [SE] P/V para su uso contra pulgón en el cultivo de la remolacha azucarera";14/04/2025;06/05/2026;
"60";"Flupiradifurona 75 g/l + Deltametrin 10 g/l [SC] P/V";"Productos fitosanitarios formulados a base de Flupiradifurona 75 g/l + Deltametrin 10 g/l [SC] P/V para su uso en el cultivo del maíz";14/04/2025;16/04/2026;
"61";"Metalaxil 25% WP [P/P]";"Productos fitosanitarios formulados a base de Metalaxil 25% WP [P/P] para su uso en camelina";30/04/2025;30/04/2025;30/04/2025
"62";"1-Methylcyclopropeno 17,15 g/l [SC]";"Productos fitosanitarios formulados a base de 1-Methylcyclopropeno 17,15 g/l [SC] como fitorregulador para retrasar la maduración de los frutos en el manzano y peral y prevenir su caída";30/05/2025;12/06/2026;
"63";"Piriproxifen 10% [EC] P/V";"Productos fitosanitarios formulados a base de Piriproxifen 10% [EC] P/V para su uso en la platanera";07/07/2025;12/06/2026;
"64";"Extracto de ajo 100% [SC] P/V";"Productos fitosanitarios formulados a base de Extracto de ajo 100% [SC] P/V autorizado como nematicida en fresal";12/08/2025;;
"65";"Fluxapyroxad 30% [SC] P/V";"Productos fitosanitarios formulados a base de Fluxapyroxad 30% [SC] P/V para su uso en champiñón";15/10/2025;15/10/2025;
"66";"Erwinia amylovora (BAEA)> 5,0x10^12 PFU/L [SC]";"Productos fitosanitarios formulados a base de Erwinia amylovora (BAEA) > 5,0x10^12 PFU/L [SC] autorizados para su uso como bactericidas en manzano y peral";02/03/2026;02/03/2026;
"67";"Tau-fluvalinato 24% [EW] P/V";"Productos fitosanitarios formulados a base de Tau-fluvalinato 24% [EW] P/V para su uso en almendro";16/04/2026;;
"68";"Napropamida 45% [SC] P/V";"Productos fitosanitarios formulados a base de Napropamida 45% [SC] P/V para su uso en hierbas aromáticas y flores comestibles";24/04/2026;;
"69";"Metarhizium Brunneum cepa MA 43 10,5% [OD] P/V";"Productos fitosanitarios formulados a base de Metarhizium Brunneum cepa MA 43 10,5% [OD] P/V";06/05/2026;;
"70";"Protioconazol 5%+Azufre 62,5% [SC] P/V";"Productos fitosanitarios formulados a base de Protioconazol 5% + Azufre 62,5% [SC] P/V para su uso en arroz";12/06/2026;;
"71";"Piraflufen etil 1,06% [EC] P/V";"Productos fitosanitarios formulados a base de Piraflufen etil 1,06% [EC] P/V para su uso en camelina y adormidera";12/06/2026;;
"72";"(Z, Z) 3,13 Octadecadien-1-yl acetato 808 g/kg + (E,Z) 3,13 Octadecadien-1-yl acetato 43 g/kg";"Productos fitosanitarios formulados a base de (Z, Z) 3,13 Octadecadien-1-yl acetato 808 g/kg + (E,Z) 3,13 Octadecadien-1-yl acetato 43 g/kg para su uso en frutales de pepita";12/06/2026;12/06/2026;
"73";"Hexitiazox 25,87% [SC] P/V";"Productos fitosanitarios formulados a base de Hexitiazox 25,87% [SC] P/V para su uso en post recolección en cerezo";12/06/2026;12/06/2026;
"74";"Hexitiazox 10% [WP] P/P";"Productos fitosanitarios formulados a base de Hexitiazox 10% [WP] P/P para su uso en post cosecha en cerezo";12/06/2026;;
