"Código SIEX";"Buenas prácticas";"Ámbito";Fecha de alta;Fecha de modificación;Fecha de baja
"0";"No realiza buenas prácticas";"Fertilización";25/11/2025;;
"0";"No realiza buenas prácticas";"Riego";25/11/2025;;
"0";"No realiza buenas prácticas";"Fitosanitario";24/04/2026;;
"1";"Aplicación de purines mediante sistema de bandas con mangueras o tubos rígidos";"Fertilización";25/11/2025;;
"2";"Aplicación de purines mediante sistema de bandas de discos o rejas";"Fertilización";25/11/2025;;
"3";"Aplicación de purines mediante inyección";"Fertilización";25/11/2025;;
"4";"Dilución de purines, seguida de técnicas tales como un sistema de riego de baja presión";"Fertilización";25/11/2025;;
"5";"Acidificación de los purines";"Fertilización";25/11/2025;;
"6";"Dosis y momento de aplicación, el abonado se realizará en aquellos momentos del ciclo del cultivo en los que el aprovechamiento del fertilizante pueda ser más rápido";"Fertilización";25/11/2025;;
"7";"Fraccionamiento de los aportes de acuerdo con las necesidades del cultivo, siempre que sea técnicamente posible";"Fertilización";25/11/2025;;
"8";"Incorporación de los fertilizantes en el suelo por sistemas de inyección en profundidad";"Fertilización";25/11/2025;;
"9";"Incorporación de los fertilizantes en el suelo mediante mezcla de los gránulos del fertilizante con el suelo";"Fertilización";25/11/2025;;
"10";"Emplear gránulos de urea recubiertos de un polímero";"Fertilización";25/11/2025;;
"11";"Aplicar un riego inmediatamente después de la fertilización con abonos a base de urea";"Fertilización";25/11/2025;;
"12";"Realizar la fertilización nitrogenada mediante fertirrigación (Sólo cuando haya necesidades de regadío)";"Fertilización";25/11/2025;;
"12";"Realizar la fertilización nitrogenada mediante fertirrigación (Sólo cuando haya necesidades de regadío)";"Riego";25/11/2025;;
"13";"En el cultivo de arroz, realizar el abonado nitrogenado con el terreno seco";"Fertilización";25/11/2025;;
"14";"Empleo de inhibidores de la ureasa con productos fertilizantes a base de urea";"Fertilización";25/11/2025;;
"15";"Enterrado de purines y, productos y materiales líquidos lo antes posible y siempre en las primeras 4 horas tras su aplicación";"Fertilización";25/11/2025;;
"16";"Empleo de inhibidores de la ureasa o de la nitrificación aplicados a purines, con supervisión profesional en caso de aplicación directa de los purines al suelo o a la balsa de purín";"Fertilización";25/11/2025;;
"17";"Aplicación de la tecnología de dosificación variable dentro de una misma parcela";"Fertilización";25/11/2025;;
"17";"Aplicación de la tecnología de dosificación variable dentro de una misma parcela";"Riego";24/04/2026;;
"17";"Aplicación de la tecnología de dosificación variable dentro de una misma parcela";"Fitosanitario";24/04/2026;;
"18";"Enterrado de la urea, en el momento de su aplicación al suelo o, por lo menos, en las 4 horas siguientes";"Fertilización";25/11/2025;;
"19";"Empleo de productos fertilizantes nitrogenados con inhibidores de la nitrificación";"Fertilización";25/11/2025;;
"20";"Abonado en verde";"Fertilización";25/11/2025;;
"20";"Abonado en verde";"Fitosanitario";24/04/2026;;
"21";"Dosis y frecuencia de riego ajustadas a las necesidades del cultivo y a la capacidad de retención de humedad del suelo, tomando como referencia las recomendaciones de los servicios de asesoramiento al regante (SIAR) de la comunidad autónoma o el Sistema de Información Agroclimática para el Regadío (SiAR) del Ministerio de Agricultura, Pesca y Alimentación, y/o empleo de sensores de contenido de humedad del suelo.";"Riego";25/11/2025;;
"22";"En el caso de que el propio material usado en el abonado aporte agua en una cantidad considerable al cultivo (como cuando se utilizan estiércoles líquidos), se tendrá en cuenta el volumen de agua incorporado por el mismo para el cálculo.";"Fertilización";25/11/2025;;
"22";"En el caso de que el propio material usado en el abonado aporte agua en una cantidad considerable al cultivo (como cuando se utilizan estiércoles líquidos), se tendrá en cuenta el volumen de agua incorporado por el mismo para el cálculo.";"Riego";25/11/2025;;
"23";"Riego localizado.";"Riego";25/11/2025;;
