Código catastro;Código INE;Descripción
00;;Comunidad Desconocida
01;01;Comunidad Autónoma de Andalucía
02;02;Comunidad Autónoma de Aragón
03;03;Principado de Asturias
04;04;Comunidad Autónoma de Illes Balears
05;05;Comunidad Autónoma de Canarias
06;06;Comunidad Autónoma de Cantabria
07;08;Comunidad Autónoma de Castilla-La Mancha
08;07;Comunidad Autónoma de Castilla y León
09;09;Comunidad Autónoma de Cataluña
10;11;Comunidad Autónoma de Extremadura
11;12;Comunidad Autónoma de Galicia
12;13;Comunidad de Madrid
13;14;Región de Murcia
14;15;Comunidad Foral de Navarra
15;16;Comunidad Autónoma del País Vasco
16;17;Comunidad Autónoma de La Rioja
17;10;Comunidad Valenciana
