"Código";"Cultivo";"Uso SIGPAC";"Descripción";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"TRIGO BLANDO";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"1";"TRIGO BLANDO";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"1";"TRIGO BLANDO";"TH";"HUERTA";20/05/2026;20/05/2026;
"1";"TRIGO BLANDO";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"2";"ESPELTA";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"2";"ESPELTA";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"2";"ESPELTA";"TH";"HUERTA";20/05/2026;20/05/2026;
"2";"ESPELTA";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"3";"TRIGO DURO";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"3";"TRIGO DURO";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"3";"TRIGO DURO";"TH";"HUERTA";20/05/2026;20/05/2026;
"3";"TRIGO DURO";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"4";"MAÍZ";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"4";"MAÍZ";"IV";"INVERNADEROS Y CULTIVOS BAJO PLASTICO";20/05/2026;20/05/2026;
"4";"MAÍZ";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"4";"MAÍZ";"TH";"HUERTA";20/05/2026;20/05/2026;
"4";"MAÍZ";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"5";"CEBADA";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"5";"CEBADA";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"5";"CEBADA";"TH";"HUERTA";20/05/2026;20/05/2026;
"5";"CEBADA";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"6";"CENTENO";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"6";"CENTENO";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"6";"CENTENO";"TH";"HUERTA";20/05/2026;20/05/2026;
"6";"CENTENO";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"7";"SORGO";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"7";"SORGO";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"7";"SORGO";"TH";"HUERTA";20/05/2026;20/05/2026;
"7";"SORGO";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"8";"AVENA";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"8";"AVENA";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"8";"AVENA";"TH";"HUERTA";20/05/2026;20/05/2026;
"8";"AVENA";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"9";"ALFORFÓN";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"9";"ALFORFÓN";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"9";"ALFORFÓN";"TH";"HUERTA";20/05/2026;20/05/2026;
"9";"ALFORFÓN";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"10";"MIJO";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"10";"MIJO";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"10";"MIJO";"TH";"HUERTA";20/05/2026;20/05/2026;
"10";"MIJO";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"11";"ALPISTE";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"11";"ALPISTE";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"11";"ALPISTE";"TH";"HUERTA";20/05/2026;20/05/2026;
"11";"ALPISTE";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"12";"TRANQUILLÓN";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"12";"TRANQUILLÓN";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"12";"TRANQUILLÓN";"TH";"HUERTA";20/05/2026;20/05/2026;
"12";"TRANQUILLÓN";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"13";"TRITICALE";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"13";"TRITICALE";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"13";"TRITICALE";"TH";"HUERTA";20/05/2026;20/05/2026;
"13";"TRITICALE";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"14";"TRITORDEUM";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"14";"TRITORDEUM";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"14";"TRITORDEUM";"TH";"HUERTA";20/05/2026;20/05/2026;
"14";"TRITORDEUM";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"19";"TEFF";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
"19";"TEFF";"TA";"TIERRAS ARABLES";20/05/2026;20/05/2026;
"19";"TEFF";"TH";"HUERTA";20/05/2026;20/05/2026;
"19";"TEFF";"ZC";"ZONA CONCENTRADA NO INCLUIDA EN LA ORTOF";20/05/2026;20/05/2026;
"20";"BARBECHO TRADICIONAL";"EP";"ELEMENTO DEL PAISAJE";20/05/2026;20/05/2026;
