"Código SIEX";"Destino del cultivo";"Observaciones";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Consumo humano en fresco";"Ejm. Endivia, alubia (judía verde), maíz dulce, remolacha de mesa, etc.";30/06/2023;04/02/2025;
"2";"Consumo humano en seco";"Ejm. Alubia";30/06/2023;;
"3";"Consumo animal ";"Ejm. Utilización para alimentación de animales en un lugar distinto al de producción. ";30/06/2023;;
"4";"Forrajero";"Ejm. Cuando no se somete a ningún proceso de ensilado, henificado. Se utiliza directamente. ";30/06/2023;;
"5";"Forraje deshidratado";;30/06/2023;;
"6";"Semillas para siembra";;30/06/2023;;
"7";"Semillas certificadas para siembra";;30/06/2023;;
"8";"Plantas, plantones o partes de planta para cultivo y/o reproducción";"Ejm. Cesped enrollado, raiz para endivia, plantas o plantones de vivero, portainjertos";30/06/2023;;
"9";"Ensilado";;30/06/2023;;
"10";"Semillas destinadas a la producción de brotes";;30/06/2023;;
"11";"Semillas germinadas excepto brotes (shoots o cress)";;30/06/2023;;
"12";"Leña";;30/06/2023;;
"13";"Corcho";;30/06/2023;;
"14";"Resina";;30/06/2023;;
"15";"Sidra";;30/06/2023;;
"16";"Pimentón";;30/06/2023;;
"17";"Fibra";"Ejm. Cáñamo y Lino textil";30/06/2023;;
"18";"Aceite";;30/06/2023;;
"19";"Medicinal";;30/06/2023;;
"20";"Industria cosmética ";;30/06/2023;;
"21";"Energía renovable";;30/06/2023;;
"22";"Vinificación";;30/06/2023;;
"23";"Otro procesamiento industrial";"Ejm. Uva pasa, tomate para transformación, adormidera var. aromática, puerros destino industria y otras hortalizas, pepino para pepinillos.";30/06/2023;;
"24";"Henificado ";;30/06/2023;;
"25";"Uso experimental";;30/06/2023;;
"26";"Biomasa";"Ejm. Cumplimentar este destino en aquellos ""sistema de cultivo"", forestales de rotación corta. ";30/06/2023;;
"27";"Madera";;30/06/2023;;
"28";"Secado de la planta por comercialización";"Ejm. Cáñamo";30/06/2023;;
"29";"Combinado: Industrial u otros más secado";"Ejm. Cáñamo";30/06/2023;;
