"Código SIEX";"Declaración de cosecha / producción";"Observaciones";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Entregada a bodega cooperativa";;30/06/2023;;
"2";"Entregada a explotación agrícola para su cultivo";;30/06/2023;;
"3";"Vendidas a un vinificador";;30/06/2023;;
"4";"Vinificación y/o conservación por el declarante.";;30/06/2023;;
"5";"Bebidas";"Ejm. Horchata";30/06/2023;;
"6";"Conservas";;30/06/2023;;
"7";"Mermelada";;30/06/2023;;
"8";"Mosto concentrado";;30/06/2023;;
"9";"Pasificado";"Ejm. Uva pasa";30/06/2023;;
"10";"Zumo";;30/06/2023;;
"11";"Azúcar";;30/06/2023;;
"12";"Melaza";;30/06/2023;;
"13";"Bagazo";;30/06/2023;;
"14";"Molturación torta";;30/06/2023;;
"15";"Encurtidos";"Ejm. Aceituna  ";30/06/2023;;
"16";"Alcohol";;30/06/2023;;
