"Código SIEX";"Tipo material fertilizantes según lista SIEX";"C_FERTILIZANTE";"D_CLASIFICA_NIVEL1";"D_CLASIFICA_NIVEL2";"Nombre producto";"Fabricante";"D_FERTILIZANTE_2";"N_% TOTAL";"N orgánico % (en fertilizantes orgánico-minerales)";"N % nítrico";"N % amoniacal";"N % ureico";"P2O5 % total";"P2O5 % soluble en agua";"P2O5 % soluble en citrato amónico neutro y agua";"P_% TOTAL";"K2O % total";"K2O % soluble en agua";"K_% TOTAL";"D_GRUPO_CONSUMO";"¿Inhibidor de la nitrificación? Si/No";"¿Inhibidor de la ureasa? Si/No";"Ca (CaO)";"Mg (MgO)";"S (SO3)";"Cadmio (Cd)";"Cobre (Cu)";"Plomo (Pb)";"Níquel (Ni)";"Zinc (Zn)";"Mercurio (Hg)";"Cromo total (Cr)";"Boro (B)";"Cobalto (Co)";"Manganeso (Mn)";"Molibdeno (Mo)";"Hierro (Fe)";"Estado de agregación";"% Corg"
"14";"Productos fertilizantes: abonos inorgánicos";"0";;;;;"PERSONALIZADO: ABONO MINERAL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";;"0"
"14";"Productos fertilizantes: abonos inorgánicos";"1";"Simple";"NITROGENADO";"ÁCIDO NÍTRICO (15-00-00)";"GENÉRICO";"ÁCIDO NÍTRICO (15-00-00) de GENÉRICO";"15";"0";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Líquido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"2";"Simple";"NITROGENADO";"NITRATO AMÓNICO-NA (34,5-00-00)";"GENÉRICO";"NITRATO AMÓNICO-NA (34,5-00-00) de GENÉRICO";"34.5";"0";"16.9";"17.6";"0";"0";"0";"0";"0";"0";"0";"0";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"3";"Simple";"NITROGENADO";"NITRATO AMÓNICO CÁLCICO-NAC (27-00-00)";"GENÉRICO";"NITRATO AMÓNICO CÁLCICO-NAC (27-00-00) de GENÉRICO";"27";"0";"13.5";"13.5";"0";"0";"0";"0";"0";"0";"0";"0";;"NO";"NO";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"4";"Simple";"NITROGENADO";"NITRATO DE CALCIO SÓLIDO (15,5-00-00)";"GENÉRICO";"NITRATO DE CALCIO SÓLIDO (15,5-00-00) de GENÉRICO";"15.5";"0";"14.5";"1";"0";"0";"0";"0";"0";"0";"0";"0";;"NO";"NO";"27";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"5";"Simple";"NITROGENADO";"NITRATO DE CALCIO LÍQUIDO (08-00-00)";"GENÉRICO";"NITRATO DE CALCIO LÍQUIDO (08-00-00) de GENÉRICO";"8";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";;"NO";"NO";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Líquido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"6";"Simple";"NITROGENADO";"NITROSULFATO AMÓNICO-NSA 26 (26-00-00)";"GENÉRICO";"NITROSULFATO AMÓNICO-NSA 26 (26-00-00) de GENÉRICO";"26";"0";"6.5";"19.5";"0";"0";"0";"0";"0";"0";"0";"0";;"NO";"NO";"0";"0";"35";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"7";"Simple";"NITROGENADO";"SOLUCIÓN NITROGENADA (20-00-00)";"GENÉRICO";"SOLUCIÓN NITROGENADA (20-00-00) de GENÉRICO";"20";"0";"10";"10";"0";"0";"0";"0";"0";"0";"0";"0";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Líquido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"8";"Simple";"NITROGENADO";"SOLUCIÓN NITROGENADA (32-00-00)";"GENÉRICO";"SOLUCIÓN NITROGENADA (32-00-00) de GENÉRICO";"32";"0";"8";"8";"16";"0";"0";"0";"0";"0";"0";"0";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Líquido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"9";"Simple";"NITROGENADO";"SULFATO AMÓNICO (21-00-00)";"GENÉRICO";"SULFATO AMÓNICO (21-00-00) de GENÉRICO";"21";"0";"0";"21";"0";"0";"0";"0";"0";"0";"0";"0";;"NO";"NO";"0";"0";"55";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"10";"Simple";"NITROGENADO";"UREA 40 con S (40-00-00)";"GENÉRICO";"UREA 40 con S (40-00-00) de GENÉRICO";"40";"0";"0";"0";"40";"0";"0";"0";"0";"0";"0";"0";;"NO";"NO";"0";"0";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"11";"Simple";"NITROGENADO";"UREA 46 (46-00-00)";"GENÉRICO";"UREA 46 (46-00-00) de GENÉRICO";"46";"0";"0";"0";"46";"0";"0";"0";"0";"0";"0";"0";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"12";"Simple";"NITROGENADO";"AMONIACO 82 (82-00-00)";"GENÉRICO";"AMONIACO 82 (82-00-00) de GENÉRICO";"82";"0";"0";"82";"0";"0";"0";"0";"0";"0";"0";"0";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Líquido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"13";"Simple";"FOSFATADO";"ÁCIDO FOSFÓRICO 52 (00-52-00)";"GENÉRICO";"ÁCIDO FOSFÓRICO 52 (00-52-00) de GENÉRICO";"0";"0";"0";"0";"0";"52.477";"52";"52";"22.88";"0";"0";"0";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Líquido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"14";"Simple";"FOSFATADO";"SUPERFOSFATO SIMPLE-SSP 18 (00-18-00)";"GENÉRICO";"SUPERFOSFATO SIMPLE-SSP 18 (00-18-00) de GENÉRICO";"0";"0";"0";"0";"0";"18.165";"16";"18";"7.92";"0";"0";"0";;"NO";"NO";"17";"0";"30.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"15";"Simple";"FOSFATADO";"SUPERFOSFATO CONCENTRADO-SSP 45 (00-45-00)";"GENÉRICO";"SUPERFOSFATO CONCENTRADO-SSP 45 (00-45-00) de GENÉRICO";"0";"0";"0";"0";"0";"45.413";"42";"45";"19.8";"0";"0";"0";;"NO";"NO";"39";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"16";"Simple";"POTASICO";"CLORURO POTÁSICO-ClK 60 (00-00-60)";"GENÉRICO";"CLORURO POTÁSICO-ClK 60 (00-00-60) de GENÉRICO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"60";"60";"49.8";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"17";"Simple";"POTASICO";"SULFATO POTÁSICO-SOP 50 (00-00-50)";"GENÉRICO";"SULFATO POTÁSICO-SOP 50 (00-00-50) de GENÉRICO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"50";"41.5";;"NO";"NO";"0";"0";"42";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"18";"Complejo";"BINARIO NP";"FOSFATO MONOAMÓNICO-MAP (10,5-52-00)";"GENÉRICO";"FOSFATO MONOAMÓNICO-MAP (10,5-52-00) de GENÉRICO";"10.5";"0";"0";"10.5";"0";"52.477";"50";"52";"22.88";"0";"0";"0";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"19";"Complejo";"BINARIO NP";"11-61-00";"GENÉRICO";"11-61-00 de GENÉRICO";"11";"0";"0";"5.5";"5.5";"60.55";"60.55";"60";"26.4";"0";"0";"0";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"20";"Complejo";"BINARIO NP";"16-20-00";"GENÉRICO";"16-20-00 de GENÉRICO";"16";"0";"0";"8";"8";"20.183";"20.183";"20";"8.8";"0";"0";"0";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"21";"Complejo";"BINARIO NP";"FOSFATO DIAMÓNICO-DAP (18-46-00)";"GENÉRICO";"FOSFATO DIAMÓNICO-DAP (18-46-00) de GENÉRICO";"18";"0";"0";"18";"0";"46.422";"45";"46";"20.24";"0";"0";"0";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"22";"Complejo";"BINARIO NK";"12-00-18";"GENÉRICO";"12-00-18 de GENÉRICO";"12";"0";"0";"6";"6";"0";"0";"0";"0";"18";"18";"14.94";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"23";"Complejo";"BINARIO NK";"NITRATO POTÁSICO (13-00-46)";"GENÉRICO";"NITRATO POTÁSICO (13-00-46) de GENÉRICO";"13";"0";"13";"0";"0";"0";"0";"0";"0";"46";"46";"38.18";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"24";"Complejo";"BINARIO PK";"00-20-17";"GENÉRICO";"00-20-17 de GENÉRICO";"0";"0";"0";"0";"0";"20.183";"0";"20.183";"8.8";"17";"17";"14.11";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
"14";"Productos fertilizantes: abonos inorgánicos";"25";"Complejo";"TERNARIO NPK";"08-18-08";"GENÉRICO";"08-18-08 de GENÉRICO";"8";"0";"0";"4";"4";"18.165";"0";"18";"7.92";"8";"8";"6.64";;"NO";"NO";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Sólido";"0"
