"Código";"Tipología";"Código SIEX";"Edificación e instalación";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Naves y obras de edificación de entidad constructiva";"1";"Abrevadero y abastecimiento de agua";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"2";"Almacén de maquinaria";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"3";"Almacén de productos y materias primas";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"4";"Almazara";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"5";"Alojamiento ganadero aves";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"6";"Alojamiento ganadero bovino de carne";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"7";"Alojamiento ganadero bovino de leche";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"8";"Alojamiento ganadero conejos";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"9";"Alojamiento ganadero equino";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"10";"Alojamiento ganadero porcino";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"11";"Alojamiento ganadero varios";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"12";"Alojamiento ganadero visones y otros peleteros";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"13";"Baño";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"14";"Comedor";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"15";"Construcción acuicultura, piscifactorías y Cetáreas";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"16";"Construcción apicultura";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"17";"Instalación para la producción de hongos";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"18";"Construcción especies cinegéticas";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"19";"Construcción Helicicultura";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"20";"Construcción Lombricultura";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"21";"Construcción para reparación edificios e instalaciones";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"22";"Instalaciones de clasificación empaquetado";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"23";"Invernadero cristal floricultura intensiva";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"24";"Invernadero cristal horticultura intensiva";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"25";"Invernadero plástico floricultura intensiva";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"26";"Invernadero plástico horticultura intensiva";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"27";"Nave agrícola";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"28";"Nave ganadera";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"29";"Nave forestal";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"30";"Invernadero de cristal";21/05/2025;;
"1";"Naves y obras de edificación de entidad constructiva";"31";"Nave para transformación de productos en origen, queserías y otros lácteos.";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"32";"Ranchos";30/06/2023;;
"1";"Naves y obras de edificación de entidad constructiva";"33";"Refugios";30/06/2023;;
