"Código SIEX";"Código";"Categoría";"Nombre científico";"EPPO cd";"Observaciones";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"8";"Enfermedades fúngicas";"Fungi";"1FUNGK";"Por razones de simplificación, se ha considerado este grupo en sentido amplio, incluyendo todas las enfermedades causadas por organismos tradicionalmente citados como hongos, aunque actualmente se incluyan en Reinos distintos (Fungi, Chromista).";03/07/2024;03/07/2024;
"2";"8.1";"Hongos del suelo";"Fungi";"1FUNGK, soil";"Tratamientos fungicidas genéricos contra hongos de suelo.";03/07/2024;03/07/2024;
"3";"8.2";"Desinfección de sustratos (hongos)";"Fungi";"1FUNGK, substrate";"Tratamientos fungicidas genéricos para desinfección de sustratos y mantillos.";03/07/2024;03/07/2024;
"4";"8.3";"Hongos de la madera";"Fungi";"1FUNGK, wood";"Tratamientos fungicidas genéricos contra hongos de madera.";03/07/2024;03/07/2024;
"5";"8.4";"Enfermedades post-cosecha (hongos)";"Fungi";"1FUNGK, post-harvest";"Tratamientos fungicidas genéricos contra enfermedades post-cosecha.";03/07/2024;03/07/2024;
"6";"8.5";"Albuginaceae";"Albuginaceae";"1ALBUF";;03/07/2024;03/07/2024;
"7";"8.5.1";"Albugo spp.";"Albugo spp.";"1ALBUG";;03/07/2024;03/07/2024;
"8";"8.5.1.1";"Roya blanca de las crucíferas, Albugo candida";"Albugo candida";"ALBUCA";;03/07/2024;03/07/2024;
"9";"8.5.1.2";"Roya blanca de las compuestas, Albugo tragopogonis";"Albugo tragopogonis";"ALBUTR";;03/07/2024;03/07/2024;
"10";"8.6";"Amphisphaeriaceae";"Amphisphaeriaceae";"1AMPSF";;03/07/2024;03/07/2024;
"11";"8.6.1";"Pestalotiopsis spp.";"Pestalotiopsis spp.";"1PESPG";;03/07/2024;03/07/2024;
"12";"8.6.1.1";"Mancha foliar de las palmáceas, Pestalotiopsis palmarum";"Pestalotiopsis palmarum";"PESPPA";;03/07/2024;03/07/2024;
"13";"8.6.2";"Seiridium spp.";"Seiridium spp.";"1SEIRG";;03/07/2024;03/07/2024;
"14";"8.6.2.1";"Chancro del ciprés, Seiridium cardinale";"Seiridium cardinale";"SEIRCA";;03/07/2024;03/07/2024;
"15";"8.7";"Atheliaceae";"Atheliaceae";"1ATHLF";;03/07/2024;03/07/2024;
"16";"8.7.1";"Athelia spp.";"Athelia spp.";"1ATHLG";;03/07/2024;03/07/2024;
"17";"8.7.1.1";"Podredumbre blanca de la remolacha, mal del esclerocio, Athelia rolfsii";"Athelia rolfsii";"SCLORO";"También descrito como Sclerotium rolfsii.";03/07/2024;03/07/2024;
"18";"8.8";"Bondarzewiaceae";"Bondarzewiaceae";"1BONDF";;03/07/2024;03/07/2024;
"19";"8.8.1";"Heterobasidion spp.";"Heterobasidion spp.";"1HETEG";;03/07/2024;03/07/2024;
"20";"8.8.1.1";"Podredumbre de los árboles resinosos, Heterobasidion annosum";"Heterobasidion annosum";"HETEAN";;03/07/2024;03/07/2024;
"21";"8.9";"Botryosphaeriaceae";"Botryosphaeriaceae";"1BOTSF";;03/07/2024;03/07/2024;
"22";"8.9.1";"Botryosphaeria spp.";"Botryosphaeria spp.";"1BOTSG";;03/07/2024;03/07/2024;
"23";"8.9.1.1";"Escudete del olivo, Botryosphaeria dothidea";"Botryosphaeria dothidea";"BOTSDO";"También responsable del chancro del almendro.";03/07/2024;03/07/2024;
"24";"8.9.1.2";"Botryosphaeria quercuum";"Botryosphaeria quercuum";"BOTSQU";;03/07/2024;03/07/2024;
"25";"8.9.2";"Diplodia spp.";"Diplodia spp.";"1DIPDG";;03/07/2024;03/07/2024;
"26";"8.9.2.1";"Diplodia corticola";"Diplodia corticola";"DIPDCT";"También descrito como Botryosphaeria corticola.";03/07/2024;03/07/2024;
"27";"8.9.2.2";"Black dead arm (BDA), Diplodia mutila";"Diplodia mutila";"BOTSST";;03/07/2024;03/07/2024;
"28";"8.9.2.3";"Muerte progresiva del pino, Diplodia sapinea";"Diplodia sapinea";"DIPDPI";"También descrito como Sphaeropsis sapinea.";03/07/2024;03/07/2024;
"29";"8.9.2.4";"Chancro de las pomáceas, Diplodia seriata";"Diplodia seriata";"BOTSOB";;03/07/2024;03/07/2024;
"30";"8.9.3";"Dothiorella spp.";"Dothiorella spp.";"1DOTRG";;03/07/2024;03/07/2024;
