"Código SIEX";"Especies animales";"Código familia";"Familia"
"01";"Bovinos";"01";"Bóvidos"
"02";"Cerdos";"02";"Porcino"
"03";"Ovinos";"03";"Pequeños Rumiantes"
"04";"Caprinos";"03";"Pequeños Rumiantes"
"05";"Équidos";"04";"Équidos"
"06";"Gallinas";"05";"Aves de corral"
"07";"Pavos";"05";"Aves de corral"
"08";"Pintadas";"05";"Aves de corral"
"09";"Patos";"05";"Aves de corral"
"10";"Ocas";"05";"Aves de corral"
"100";"Dentón o dentón europeo (Dentex dentex)";"10";"Peces"
"101";"Especies de estero";"10";"Peces"
"102";"Langostino meditarráneo (Penaeus kerathurus)";"11";"Crustáceos"
"103";"Lenguado senegalés (Solea senegalensis)";"10";"Peces"
"104";"Mujoles (Mugil spp.)";"10";"Peces"
"105";"Mero (Epinephelus marginatus)";"10";"Peces"
"106";"Mojarra (Diplodus vulgaris)";"10";"Peces"
"107";"Morragute (liza ramada)";"10";"Peces"
"108";"Ostión u ostra japonesa (Crassostrea gigas)";"12";"Moluscos"
"109";"Pargo (Pagrus pagrus)";"10";"Peces"
"11";"Codornices";"05";"Aves de corral"
"110";"Salema (Sarpa salpa)";"10";"Peces"
"111";"Salmón real (Oncorhychus tshawytscha )";"10";"Peces"
"112";"Sargo picudo (Diplodus puntazzo)";"10";"Peces"
"113";"Urta (pagrus auriga)";"10";"Peces"
"114";"Escupiña grabada (Venus verrucosa)";"12";"Moluscos"
"115";"Navaja (Ensis arcuatus)";"12";"Moluscos"
"116";"Pectínidos (Peines spp.)";"10";"Peces"
"117";"Volandeira (Aequipecten opercularis)";"12";"Moluscos"
"118";"Cangrejo autóctono (Austropotamobius pallipes)";"11";"Crustáceos"
"119";"Crustáceos ornamentales";"11";"Crustáceos"
"12";"Palomas";"05";"Aves de corral"
"120";"Moluscos ornamentales";"12";"Moluscos"
"121";"Camarón (Palaemonetes varians)";"11";"Crustáceos"
"122";"Cherna (Polyprion americanus)";"10";"Peces"
"123";"Esturión del Adriático (Acipenser naccarii) ";"10";"Peces"
"124";"Esturión siberiano (Acipenser Baerii)";"10";"Peces"
"125";"Trucha arco iris (Oncorhynchus mykiss)";"10";"Peces"
"126";"Carpa real (Cyprinus carpio royal)";"10";"Peces"
"127";"Acedía (Dicologlossa cuneata)";"10";"Peces"
"128";"Medregal limón (Seriola rivoliana)";"10";"Peces"
"129";"Medregal listado (Seriola fasciata)";"10";"Peces"
"13";"Faisanes";"05";"Aves de corral"
"130";"Medregal de guinea (Seriola carpenteri)";"10";"Peces"
"131";"Mejillón canario (Perna perna)";"12";"Moluscos"
"132";"Salmón del Danubio (Hucho hucho)";"10";"Peces"
"133";"Langostino blanco (Litopenaeus vannamei)";"11";"Crustáceos"
"134";"Cangrejo verde o coñeta (Carcinus maenas)";"11";"Crustáceos"
"135";"Pejerrey mediterráneo (Atherina Boyeri)";"10";"Peces"
"136";"Fúndulus (Fundulus heteroclitus)";"10";"Peces"
"137";"Esturión estrellado (Acipenser stellatus)";"10";"Peces"
"138";"Esturión ruso (Acipenser gueldenstaedti)";"10";"Peces"
"139";"Beluga (Huso huso)";"10";"Peces"
"14";"Perdices";"05";"Aves de corral"
"140";"Sardina (Sardina pilchardus)";"10";"Peces"
"141";"Choco o sepia (Sepia officinalis)";"12";"Moluscos"
"142";"Cobia (Rachycentron canadum)";"10";"Peces"
"143";"Lamprea (Petromyzun marinus)";"10";"Peces"
"144";"Oreja de mar o Abalón (Haliotis tuberculata)";"12";"Moluscos"
"145";"Camarón Báltico (Palaemon adspersus)";"11";"Crustáceos"
"146";"Camarón o esquila (Palaemon elegans)";"11";"Crustáceos"
"147";"Abejorros (Bombus terrestris)";"07";"Apícola"
"148";"Garra Rufa (Pez doctor)";"10";"Peces"
"149";"Pintarroja (Scyliorhinus canicula)";"10";"Peces"
"15";"Ratites";"05";"Aves de corral"
"150";"Erizo de mar (Paracentrotus,Echinocarduium, otras)";"19";"Equinodermo / Otros acuicultura"
"151";"Ortiguillas (Anemonia sulcata)";"19";"Equinodermo / Otros acuicultura"
"152";"Vargula hilgendorfii";"11";"Crustáceos"
"153";"Centolla (Maja squinado)";"11";"Crustáceos"
"154";"Nécora (Necora púber)";"11";"Crustáceos"
"155";"Caballito de mar (Hippocampus guttulatus)";"10";"Peces"
"156";"Pez espinoso (Gasterosteus aculeatus)";"10";"Peces"
"157";"Esturión esterlete (Acipenser ruthenus)";"10";"Peces"
"158";"Lubrigante (Homarus gammarus)";"11";"Crustáceos"
"159";"Santiaguiño (Scyllarus arctus)";"11";"Crustáceos"
"16";"Conejos";"06";"Cunícola"
"160";"Cyprinodon variegatus";"10";"Peces"
"161";"Berberecho birollo (Cerastoderma glaucum)";"12";"Moluscos"
"162";"Medusas";"19";"Equinodermo / Otros acuicultura"
"163";"Lampuga (Coryphaena hippurus)";"10";"Peces"
"164";"Pepino de mar (Holothuria Forskali, Aslia Lefevrei)";"19";"Equinodermo / Otros acuicultura"
"165";"Moluscos bivalvos ";"12";"Moluscos"
"166";"Caracoles (Littorina Fabalis, Littorina Saxatalis)";"12";"Moluscos"
"167";"Estrellas de mar (Marthasterias Glacialis)";"19";"Equinodermo / Otros acuicultura"
"168";"Moluscos gasterópodos_Lapas (Patella spp y otras)   ";"12";"Moluscos"
"169";"Ostra portuguesa (Crassostrea angulata)";"12";"Moluscos"
"17";"Liebres";"06";"Cunícola"
"170";"Coquina de fango (Scrobicularia plana)";"12";"Moluscos"
"171";"Almeja rubia (Venerupis rhomboides)";"12";"Moluscos"
"172";"Galupe o lisa (Liza aurata)";"10";"Peces"
"173";"Lisa (Chelon labrosus)";"10";"Peces"
"174";"Galúa (Liza saliens)";"10";"Peces"
"175";"Salmonete de roca (Mullus surmuletus)";"10";"Peces"
"176";"Cigala (Nephrops norvegicus)";"11";"Crustáceos"
"177";"Bogavante americano (Homarus americanus)";"11";"Crustáceos"
"178";"Centolla o centollo del Atlántico (Maja braquydactyla)";"11";"Crustáceos"
"179";"Buey de mar (Cancer pagurus)";"11";"Crustáceos"
"18";"Abejas";"07";"Apícola"
"180";"Langosta (Palinurus elephas)";"11";"Crustáceos"
"181";"Caballa ( Scomber scombrus)";"10";"Peces"
"184";"Zooplancton";"19";"Equinodermo / Otros acuicultura"
"19";"Visones";"08";"Especies peleteras"
"20";"Zorros rojos";"08";"Especies peleteras"
"200";"Animales de experimentación ";"18";"Experimentación"
"21";"Nutrias";"08";"Especies peleteras"
"22";"Chinchillas";"08";"Especies peleteras"
"23";"Ciervos";"09";"Cinegéticas de caza mayor"
"232";"Hurones (Mustela putoris furo)";"99";"Otras"
"233";"Otros carnívoros (Carnivora)";"99";"Otras"
"24";"Corzos";"09";"Cinegéticas de caza mayor"
"243";"Otras aves";"13";"Otras aves"
"245";"Lagartos y Serpientes (Squamata) ";"17";"Reptiles"
"246";"Tortugas (Chelonia) ";"17";"Reptiles"
"25";"Gamos";"09";"Cinegéticas de caza mayor"
"26";"Jabalíes";"09";"Cinegéticas de caza mayor"
"27";"Caracoles";"99";"Otras"
"28";"Ranas";"99";"Otras"
"281";"Otros peces";"10";"Peces"
"284";"Cabra montés";"09";"Cinegéticas de caza mayor"
"285";"Mamíferos acuáticos";"99";"Otras"
"286";"Otros herbívoros";"99";"Otras"
"287";"Mamíferos voladores";"99";"Otras"
"288";"Cocodrilianos";"17";"Reptiles"
"289";"Rincocéfalos";"17";"Reptiles"
"29";"Dorada (Sparus aurata)";"10";"Peces"
"290";"Úrsidos";"99";"Otras"
"291";"Aves rapaces";"13";"Otras aves"
"292";"Artrópodos";"99";"Otras"
"293";"Aves psitaciformes";"13";"Otras aves"
"294";"Otros omnívoros";"99";"Otras"
"295";"Cebo vivo";"99";"Otras"
"30";"Lubina o robalo (Dicentrarchus labrax)";"10";"Peces"
"300";"Varios moluscos de centros de expedición, depuración y similares";"12";"Moluscos"
"306";"Escarabajo de la cama (Alphitobius diaperinus)";"20";"Insectos regulados"
"307";"Grillo doméstico (Acheta domesticus)";"20";"Insectos regulados"
"308";"Grillo rallado (Gryllodes sigilatus)";"20";"Insectos regulados"
"309";"Grillo bicolor ( Gryllus assimilis)";"20";"Insectos regulados"
"31";"Rodaballo (Scophtalmus maximus)";"10";"Peces"
