"Código SIEX";"Estadio bibliografía";"Estado fenológico";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"0";"Germinación, brotación, desarrollo de la yema";26/12/2023;;
"2";"1";"Desarrollo de las hojas (brote o tallo principal)";26/12/2023;;
"3";"2";"Formación de brotes laterales/ macollamiento (ahijamiento)";26/12/2023;;
"4";"3";"Crecimiento longitudinal del tallo o crecimiento en roseta, desarrollo de brotes (retoños)/ encañado (tallo principal)";26/12/2023;;
"5";"4";"Desarrollo de las partes vegetativas cosechables de la planta o de órganos vegetativos de propagación/ embuchamiento";26/12/2023;;
"6";"5";"Emergencia de la inflorescencia (tallo principal)/ espigamiento";26/12/2023;;
"7";"6";"Floración (tallo principal)";26/12/2023;;
"8";"7";"Desarrollo del fruto";26/12/2023;;
"9";"8";"Coloración o maduración de frutos y semillas";26/12/2023;;
"10";"9";"Senescencia, comienzo de la dormancia";26/12/2023;;
