"Código SIEX";"Descripción";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"N total";13/04/2023;;
"2";"N orgánico";13/04/2023;;
"3";"N nítrico";13/04/2023;;
"4";"N amoniacal";13/04/2023;;
"5";"N ureico";13/04/2023;;
"6";"P2O5 total";13/04/2023;;
"7";"P2O5 soluble en agua";13/04/2023;;
"8";"P2O5 soluble en citrato amónico neutro y agua";13/04/2023;;
"9";"K2O";13/04/2023;;
"10";"K2O soluble en agua";13/04/2023;;
"11";"C Orgánico";13/04/2023;30/07/2024;
"12";"Calcio (CaO)";13/04/2023;31/07/2024;
"13";"Magnesio (MgO)";13/04/2023;07/08/2024;
"14";"Azufre (SO3)";13/04/2023;;
"15";"P2O5 orgánico";24/10/2025;;
"16";"K2O orgánico";24/10/2025;;
