"Código del tipo";"Tipo de material vegetal de reproducción";"Código";"Detalle del tipo";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Semilla";"1";"Certificada";13/04/2023;;
"1";"Semilla";"2";"Estándar";13/04/2023;;
"1";"Semilla";"3";"Comercial";13/04/2023;;
"1";"Semilla";"4";"Reempleo";13/04/2023;;
"1";"Semilla";"6";"Identificada";13/04/2023;;
"1";"Semilla";"7";"Seleccionada";13/04/2023;;
"1";"Semilla";"8";"Cualificada";13/04/2023;;
"1";"Semilla";"9";"Controlada";13/04/2023;;
"1";"Semilla";"10";"Prebase";13/04/2023;;
"1";"Semilla";"11";"Base";13/04/2023;;
"1";"Semilla";"13";"Sin categoría";13/04/2023;;
"2";"Planta";"1";"Certificada";13/04/2023;;
"2";"Planta";"2";"Estándar";13/04/2023;;
"2";"Planta";"5";"Conformitas Agrarias Communitatis";13/04/2023;;
"2";"Planta";"6";"Identificada";13/04/2023;;
"2";"Planta";"7";"Seleccionada";13/04/2023;;
"2";"Planta";"8";"Cualificada";13/04/2023;;
"2";"Planta";"9";"Controlada";13/04/2023;;
"2";"Planta";"11";"Base";13/04/2023;;
"2";"Planta";"12";"Inicial";13/04/2023;;
"2";"Planta";"13";"Sin categoría";13/04/2023;;
"3";"Parte de planta";"1";"Certificada";13/04/2023;;
"3";"Parte de planta";"2";"Estándar";13/04/2023;;
"3";"Parte de planta";"5";"Conformitas Agrarias Communitatis";13/04/2023;;
"3";"Parte de planta";"7";"Seleccionada";13/04/2023;;
"3";"Parte de planta";"8";"Cualificada";13/04/2023;;
"3";"Parte de planta";"9";"Controlada";13/04/2023;;
"3";"Parte de planta";"11";"Base";13/04/2023;;
"3";"Parte de planta";"12";"Inicial";13/04/2023;;
"3";"Parte de planta";"13";"Sin categoría";13/04/2023;;
