"Código SIEX";"Tipo de material";"Campos a registrar (información disponible según tipo de producto o material)";Fecha de alta;Fecha de modificación;Fecha de baja
"0";"Otros";"Ninguno";20/05/2024;03/06/2024;
"1";"Estiercol líquido de aves";"· N total · N orgánico · N amoniacal (opcional) · P2O5 total · K2O total · Empresa suministradora/REGA/NIF -Tratamiento recibido: Ninguno/separación sólido-líquido: fracción líquida/efluentes tratamiento NDN";24/05/2023;12/12/2025;
"2";"Estiércol líquido de bovino";"· N total · N orgánico · N amoniacal (opcional) · P2O5 total · K2O total · Empresa suministradora/REGA/NIF -Tratamiento recibido: Ninguno/separación sólido-líquido: fracción líquida/efluentes tratamiento NDN";24/05/2023;12/12/2025;
"3";"Estiércol de porcino";"· N total· N orgánico· N amoniacal (opcional)· P2O5 total· K2O total · Empresa suministradora/REGA/NIF -Tratamiento recibido: Ninguno/separación sólido-líquido: fracción líquida/separación sólido-líquido: fracción sólida/efluentes tratamiento NDN";24/05/2023;26/05/2026;
"4";"Estiércol sólido de aves";"· N total· N orgánico· N amoniacal (opcional)· P2O5 total· K2O total· Empresa suministradora/REGA/NIF -Tratamiento recibido: Ninguno/separación sólido-líquido: fracción sólida";24/05/2023;12/12/2025;
"5";"Estiércol sólido de bovino";"· N total· N orgánico · N amoniacal (opcional) · P2O5 total·  K2O total · Empresa suministradora/REGA/NIF -Tratamiento recibido: Ninguno/separación sólido-líquido: fracción sólida";24/05/2023;12/12/2025;
"6";"Estiércol sólido de caprino";"· N total · N orgánico·  N amoniacal (opcional) · P2O5 total · K2O total · Empresa suministradora/REGA/NIF -Tratamiento recibido: Ninguno/separación sólido-líquido: fracción sólida";24/05/2023;12/12/2025;
"7";"Estiércol sólido de equino";"· N total · N orgánico · N amoniacal (opcional) · P2O5 total · K2O total · Empresa suministradora/REGA/NIF -Tratamiento recibido: Ninguno/separación sólido-líquido: fracción sólida";24/05/2023;12/12/2025;
"8";"Estiércol sólido de ovino";"· N total · N orgánico · N amoniacal (opcional) · P2O5 total · K2O total · Empresa suministradora/REGA/NIF -Tratamiento recibido: Ninguno/separación sólido-líquido: fracción sólida";24/05/2023;12/12/2025;
"9";"Inhibidores";"· Nombre · Dosis";24/05/2023;;
"10";"Otros tipos de estiércol sólido: conejo, visón, zorro…";"· N total · N orgánico · N amoniacal (opcional) · P2O5 total · Empresa suministradora/REGA/NIMA/NIF -Tratamiento recibido: Ninguno/separación sólido-líquido: fracción sólida";24/05/2023;;
"11";"Productos fertilizantes bioestimulantes";"· Nombre del tipo · Dosis";24/05/2023;;
"12";"Productos fertilizantes enmiendas calizas";"· Nombre del tipo · Dosis";24/05/2023;;
"13";"Productos fertilizantes enmiendas orgánicas";"· N total · N orgánico · N amoniacal (opcional) · P2O5 total · C orgánico · Empresa suministradora/NIF";24/05/2023;18/10/2023;
"14";"Productos fertilizantes: abonos inorgánicos";"· (según la etiqueta del producto) . N total · N nítrico · N amoniacal · N ureico · P2O5 total · P2O5 soluble en agua · P2O5 soluble en citrato amónico neutro y agua · K2O (soluble en agua)";24/05/2023;;
"15";"Productos fertilizantes: abonos orgánicos";"· N total · N orgánico · P2O5 total · K2O total · C orgánico";24/05/2023;18/10/2023;
"16";"Productos fertilizantes: abonos organominerales";"· (según la etiqueta del producto) . N total · N nítrico · N amoniacal · N ureico · P2O5 total · P2O5 soluble en agua · P2O5 soluble en citrato amónico neutro y agua · K2O (soluble en agua) · C orgánico";24/05/2023;18/10/2023;
"17";"Productos fertilizantes otras enmiendas (retenedoras humedad, ácidas, etc.)";"· Nombre del tipo · Dosis";24/05/2023;;
"18";"Residuos: Materiales que, sin haberse empleado en la elaboración de un producto fertilizante, cumplan con todos los requisitos de las CMCS 3, 4, 5, 6, 12, 13 y 14 del Anexo II del Reglamento (UE) 2019/1009. ";"· N total · N orgánico · N amoniacal (opcional) · P2O5 total · C orgánico · Empresa suministradora/NIMA";24/05/2023;12/12/2025;
"19";"Residuos: Subproductos de origen animal no aptos para consumo humano, que hayan sido tratados conforme al artículo 20 del Reglamento (CE) 1069/2009. ";"· N total · N orgánico · N amoniacal (opcional) · P2O5 total · C orgánico · Empresa suministradora/NIMA";24/05/2023;12/12/2025;
"20";"Residuos: compost de alperujo";"· N total · N orgánico · N amoniacal (opcional) · P2O5 total · C orgánico · Empresa suministradora/NIMA";24/05/2023;12/12/2025;
"21";"Residuos: alperujo desecado";"· N total · N orgánico · N amoniacal (opcional) · P2O5 total · C orgánico · Empresa suministradora/NIMA";24/05/2023;12/12/2025;
"22";"Residuos: Lodos de tratamiento de aguas residuales urbanas (lodos EDAR), incluidos en el Real Decreto 1310/1990, de 29 de octubre. siempre que hayan sido tratados. ";"· N total · N orgánico · N amoniacal (opcional) · P2O5 total · C orgánico · Empresa suministradora/NIMA  ·  Metales pesados";24/05/2023;12/12/2025;
"23";"Residuos: Lodos calizos procedentes del proceso Kraft de fabricación de pasta de papel, para elevar el pH de suelos ácidos";"· CaO (en forma de carbonato) s.m.s.· Empresa suministradora/NIMA";24/05/2023;12/12/2025;
