"Código SIEX";"Medida";"Observaciones";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Rotación de cultivos";"Medidas preventivas";01/02/2023;;
"2";"Utilización de técnicas de cultivo adecuadas (técnica de la falsa siembra, fechas y densidades de siembra, baja dosis de siembra, mínimo laboreo, poda y siembra directa, etc.)";"Medidas preventivas";01/02/2023;;
"3";"Utilización de variedades resistentes";"Medidas preventivas";01/02/2023;;
"4";"Utilización de prácticas de fertilización adecuadas";"Medidas preventivas";01/02/2023;;
"5";"Prevención de la propagación de organismos nocivos mediante medidas profilácticas (limpieza periódica de maquinaria y equipos, etc.)";"Medidas preventivas";01/02/2023;;
"6";"Protección de los organismos beneficiosos (con medidas fitosanitarias específicas, utilizando infraestructuras ecológicas que aumenten la biodiversidad, estableciendo márgenes multifuncionales para la mejora de la biodiversidad y fomento de la fauna útil, etc.)";"Medidas preventivas";01/02/2023;;
"7";"Monitoreo de plagas, enfermedades y malas hierbas.";;01/02/2023;;
"8";"Establecimiento de umbrales de intervención fitosanitaria.";;01/02/2023;;
"9";"Aplicación de medios no químicos (captura masiva, confusión sexual, lucha biológica, prácticas culturales para la desinfección de suelos, etc.).";;01/02/2023;;
"10";"Aplicación de productos fitosanitarios de bajo riesgo.";;01/02/2023;;
"11";"Seguimiento de una estrategia anti-resistencias en el uso de productos fitosanitarios.";;01/02/2023;;
"12";"Seguimiento de la efectividad de la intervención fitosanitaria.";;01/02/2023;;
"13";"Asesoramiento por un asesor en GIP o pertenencia a ATRIA, ADV o figuras equivalentes.";;01/02/2023;;
"14";"Inscripción en un sistema de avisos fitosanitarios (Estaciones de avisos) o mediante DSS (Decision Support System/ ayudas a la toma de decisión). ";;01/02/2023;;
