"Código SIEX";"Código";"Categoría";"Nombre científico";"EPPO cd";"Observaciones";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"6";"Artrópodos";"Arthropoda";"1ARTHP";"Se incluyen ácaros, insectos, colémbolos y miriápodos, que pueden llevar a constituir plagas.";30/06/2023;03/07/2024;
"2";"6.1";"Ácaros";"Acari";"1ACARO";;30/06/2023;03/07/2024;
"3";"6.1.1";"Ácaros acáridos, Acaridae";"Acaridae";"1ACARF";;30/06/2023;03/07/2024;
"4";"6.1.1.1";"Ácaro de los bulbos, Rhizoglyphus echinopus";"Rhizoglyphus echinopus";"RHIGEC";;30/06/2023;03/07/2024;
"5";"6.1.2";"Ácaros eriófidos, Eriophyidae";"Eriophyidae";"1ERIOF";;30/06/2023;03/07/2024;
"6";"6.1.2.1";"Ácaro de las yemas, Acalitus phloeocoptes";"Acalitus phloeocoptes";"ERPHPH";;30/06/2023;03/07/2024;
"7";"6.1.2.2";"Acariosis del olivo, Aceria oleae";"Aceria oleae";"ACEIOL";;30/06/2023;03/07/2024;
"8";"6.1.2.3";"Ácaro de las maravillas, Aceria sheldoni";"Aceria sheldoni";"ACEISH";;30/06/2023;03/07/2024;
"9";"6.1.2.4";"Ácaro del bulbo, Aceria tulipae";"Aceria tulipae";"ACEITU";;30/06/2023;03/07/2024;
"10";"6.1.2.5";"Ácaro del bronceado, Aculops lycopersici";"Aculops lycopersici";"VASALY";;30/06/2023;03/07/2024;
"11";"6.1.2.6";"Acariosis de la vid, Calepitrimerus vitis";"Calepitrimerus vitis";"PHYCVI";;30/06/2023;03/07/2024;
"12";"6.1.2.7";"Erinosis de la vid, Colomerus vitis";"Colomerus vitis";"ERPHVI";;30/06/2023;03/07/2024;
"13";"6.1.2.8";"Ácaro blanco, Epitrimerus pyri";"Epitrimerus pyri";"EPITPI";;30/06/2023;03/07/2024;
"14";"6.1.2.9";"Erinosis del peral, Eriophyes pyri";"Eriophyes pyri";"ERPHPI";;30/06/2023;03/07/2024;
"15";"6.1.2.10";"Erinosis del nogal, Eriophyes tristiatus, E.erineus";"Eriophyes tristiatus, E.erineus";"ACEITR, ACEIER";;30/06/2023;03/07/2024;
"16";"6.1.2.11";"Badoc, Phytoptus avellanae";"Phytoptus avellanae";"ERPHAV";;30/06/2023;03/07/2024;
"17";"6.1.3";"Ácaros tetraníquidos, Tetranychidae";"Tetranychidae";"1TETRF";;30/06/2023;03/07/2024;
"18";"6.1.3.1";"Araña amarilla, Eotetranychus carpini";"Eotetranychus carpini";"EOTECA";;30/06/2023;03/07/2024;
"19";"6.1.3.2";"Ácaro del plateado, Eutetranychus banksi";"Eutetranychus banksi";"EUTEBA";;30/06/2023;03/07/2024;
"20";"6.1.3.3";"Ácaro oriental, Eutetranychus orientalis";"Eutetranychus orientalis";"EUTEOR";;30/06/2023;03/07/2024;
"21";"6.1.3.4";"Araña roja común, Tetranychus spp.";"Tetranychus spp.";"1TETRG";"Se incluyen especies del género Tetranychus como T.urticae y T.ludeni.";30/06/2023;03/07/2024;
"22";"6.1.3.5";"Tetranycopsis horridus";"Tetranycopsis horridus";"TTNYHO";;30/06/2023;03/07/2024;
"23";"6.1.3.6";"Ácaros del aguacate, Oligonychus spp.";"Oligonychus spp.";"1OLIGG";"Se incluyen especies del género Oligonychus como O.perseae y O.punicae.";30/06/2023;03/07/2024;
"24";"6.1.3.7";"Ácaro rojo de los cítricos, Panonychus citri";"Panonychus citri";"METTCI";;30/06/2023;03/07/2024;
"25";"6.1.3.8";"Ácaro rojo de los frutales, Panonychus ulmi";"Panonychus ulmi";"METTUL";;30/06/2023;03/07/2024;
