"Código";"Cultivo";"Latín";"EPPO";"C. UPOV";"Hortícola";"Energético";"Frutal";"Frutos cáscara";"Aromáticas, condimentarias o medicinales";"Siembra directa";"Especies mejorantes";"Forestal ciclo corto";"Leñosos";"Tierras de cultivo";"Cultivos permanentes";"Pastos permanentes";"Forestales";"Leguminosas";"Zona de no cosechado de cereales, leguminosas y oleaginosas";"Cereales";"Oleaginosas";"Aromáticas para zonas de no cosechado";"Hierba u otros forrajes herbáceos";"Producción de legumbre y semillas certificadas de legumbre";"Producción de resto de leguminosas y semillas certificadas de leguminosas";"Cultivos plurianuales";"Integrado";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"TRIGO BLANDO";"Triticum aestivum";"TRZAX";"TRITI_AES";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"2";"ESPELTA";"Triticum spelta";"TRZSP";"TRITI_AES_SPE";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"3";"TRIGO DURO";"Triticum durum";"TRZDU";"TRITI_TUR_DUR";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"4";"MAÍZ";"Zea mays";"ZEAMX";"ZEAAA_MAY_GMA";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"5";"CEBADA";"Hordeum vulgare";"HORVX";"HORDE_VUL";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"6";"CENTENO";"Secale cereale";"SECCE";"SECAL_CER";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"7";"SORGO";"Sorghum bicolor";"SORVU";"SRGHM_BIC_BIC";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"8";"AVENA";"Avena sativa";"AVESA";"AVENA_SAT";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"9";"ALFORFÓN";"Fagopyrum esculentum";"FAGES";"FAGOP_ESC";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"10";"MIJO";"Panicum miliaceum";"PANMI";"PANIC_MIL";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"11";"ALPISTE";"Phalaris canariensis";"PHACA";"PHALR_CAN";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"12";"TRANQUILLÓN";"Triticum aestivum L. - Secale cereale L.";;;"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"13";"TRITICALE";"x Triticosecale Wittm. ex A. Camus";"1TTLG";"TRITL";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"14";"TRITORDEUM";"Tritordeum sp.";"TTOSS";"TRITR";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"15";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"16";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"17";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"18";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"19";"TEFF";"Eragrostis tef";"ERATF";"ERAGR_TEF";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"20";"BARBECHO TRADICIONAL";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;02/12/2025;
"21";"BARBECHO MEDIOAMBIENTAL ABANDONO 5 AÑOS";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";12/03/2025;28/03/2025;31/12/2022
"22";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"23";"BARBECHO MEDIOAMBIENTAL";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;02/12/2025;
"24";"BARBECHO SIN PRODUCCIÓN";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"25";"ABANDONO 20 AÑOS";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"26";"ABANDONO PARA FORESTACIÓN";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2014
"27";"RETIRADA OBLIGATORIA FIJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2007
"28";"RETIRADA FORESTACIÓN";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"29";"RETIRADA VOLUNTARIA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2007
"30";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"31";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"32";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"33";"GIRASOL";"Helianthus annuus";"HELAN";"HLNTS_ANN";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"34";"SOJA";"Glycine max";"GLXMA";"GLYCI_MAX";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"NO";"SI";"NO";"NO";"NO";"SI";"NO";"SI";30/06/2023;23/06/2026;
"35";"COLZA";"Brassica napus L. emend. Metzg. subsp. napus";"BRSNN";"BRASS_NAP_NUS";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"36";"CAMELINA";"Camelina sativa";"CMASA";"CAMLN_SAT";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"SI";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"SI";30/06/2023;19/06/2026;
"37";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"38";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"39";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"40";"GUISANTE";"Pisum sativum";"PIBSX";"PISUM_SAT";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"SI";30/06/2023;23/06/2026;
"41";"HABA";"Vicia faba L. var. major Harz";"VICFX";"VICIA_FAB_MAJ";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"SI";30/06/2023;23/06/2026;
"42";"HABONCILLOS";"Vicia faba var. minuta";"VICFM";"VICIA_FAB_MIN";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2014
"43";"ALTRAMUZ BLANCO";"Lupinus albus";"LUPAL";"LUPIN_ALB";"NO";"NO";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"SI";"NO";"SI";30/06/2023;23/06/2026;
"44";"GUISANTE EN VERDE";"Pisum sativum";"PIBSX";"PISUM_SAT";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2014
"45";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"46";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"47";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
"48";"DATO HISTÓRICO DE BAJA";;;;"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"NO";28/03/2025;28/03/2025;31/12/2022
