"Id";"Código";"Producto";"Código SIEX";"Cultivo SIEX";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"2.1.5.9.";"Aceitunas";"101";"OLIVO";24/05/2023;;
"1";"2.1.5.9.";"Aceitunas";"363";"ACEBUCHE";05/12/2025;;
"2";"2.2.7.2.1.";"Acelgas";"166";"ACELGA";24/05/2023;;
"3";"2.2.7.1.5.";"Achicorias (hojas)";"181";"ACHICORIA";24/05/2023;;
"4";"2.1.5.1.";"Aguacates";"343";"AGUACATE";24/05/2023;;
"5";"2.2.9.7.";"Ajetes, ajos tiernos";"169";"AJO";24/05/2023;;
"5";"2.2.9.7.";"Ajetes, ajos tiernos";"961";"AJO PUERRO";18/12/2025;;
"6";"2.2.2.1.";"Ajos";"169";"AJO";24/05/2023;;
"7";"2.1.3.2.";"Albaricoques";"107";"ALBARICOQUERO";24/05/2023;;
"8";"2.2.9.5.";"Alcachofas";"164";"ALCACHOFA";24/05/2023;;
"9";"2.8.";"Algarrobas (vainas de algarrobo)";"122";"ALGARROBO";26/05/2025;;
"9";"2.8.";"Algarrobas (vainas de algarrobo)";"248";"ALGARROBA";24/05/2023;;26/05/2025
"10";"2.27.1.";"Almendras";"104";"ALMENDRO";24/05/2023;;
"12";"2.2.1.3.";"Apionabos";"158";"APIO";24/05/2023;;
"13";"2.2.9.3.";"Apios";"158";"APIO";24/05/2023;;
"14";"2.1.4.3.4.";"Arándanos rojos";"216";"ARÁNDANO";24/05/2023;;
"15";"2.1.4.3.3.";"Arándanos, mirtilos";"216";"ARÁNDANO";24/05/2023;;
"16";"2.27.6.";"Avellanas";"123";"AVELLANO";24/05/2023;;
"17";"2.2.7.1.8.";"Barbareas";"480";"BARBAREA";24/05/2023;;
"18";"2.2.3.3.";"Berenjenas";"162";"BERENJENA";24/05/2023;;
"19";"2.2.7.3.";"Berros de agua";"191";"BERRO DE AGUA";24/05/2023;;
"20";"2.2.7.1.1.";"Berros, mastuerzos";"419";"BERRO HORTELANO";24/05/2023;;
"21";"2.2.6.3.2.";"Berzas, coles";"175";"BERZA";24/05/2023;;
"22";"2.2.1.13.";"Boniatos, batatas";"121";"BONIATO";24/05/2023;;
"22";"2.2.1.13.";"Boniatos, batatas";"926";"BATATA";05/12/2025;;
"23";"2.2.9.9.";"Borrajas";"187";"BORRAJA";24/05/2023;;
"24";"2.2.7.1.9.";"Brotes tiernos, incluidas las especies de Brassica (producto cosechado)";"1";"TRIGO BLANDO";24/05/2023;;
"24";"2.2.7.1.9.";"Brotes tiernos, incluidas las especies de Brassica (producto cosechado)";"3";"TRIGO DURO";24/05/2023;;
"24";"2.2.7.1.9.";"Brotes tiernos, incluidas las especies de Brassica (producto cosechado)";"4";"MAÍZ";24/05/2023;;
"24";"2.2.7.1.9.";"Brotes tiernos, incluidas las especies de Brassica (producto cosechado)";"5";"CEBADA";24/05/2023;;
"24";"2.2.7.1.9.";"Brotes tiernos, incluidas las especies de Brassica (producto cosechado)";"6";"CENTENO";24/05/2023;;
