"Código SIEX";"Sistema de cultivo";"Observaciones";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Aire libre";;30/06/2023;;
"2";"Malla";;30/06/2023;;
"3";"Cubierta no accesible";;30/06/2023;;
"4";"Invernadero (cubierta accesible)";;30/06/2023;;
"5";"Forestales en rotacion corta";"225 - EUCALIPTO,200 - PAULONIA,116 - CHOPO,227 - SAUCE,230 - ROBINIA,442 - MIMBRERA,364 - ÁLAMO";30/06/2023;14/11/2023;
"6";"Micorrizado";;30/06/2023;;
"7";"Acolchado";;30/06/2023;;
"8";"Enarenado";;30/06/2023;;
"9";"Bodega Sacos";"Setas/champiñones";30/06/2023;;
"10";"Bodega Bandejas";"Setas/champiñones";30/06/2023;;
"11";"Bodega Botellas";"Setas/champiñones";30/06/2023;;
"12";"Bodega Otros";"Setas/champiñones";30/06/2023;;
"13";"Nave Sacos";"Setas/champiñones";30/06/2023;;
"14";"Nave Bandejas";"Setas/champiñones";30/06/2023;;
"15";"Nave Botellas";"Setas/champiñones";30/06/2023;;
"16";"Nave Otros";"Setas/champiñones";30/06/2023;;
"17";"Hoyos";"Viñedo Lanzarote";30/06/2023;;
"18";"Zanjas";"Viñedo Lanzarote";30/06/2023;;
"19";"Invernadero (cubierta accesible)+ enarenado";;30/06/2023;;
"20";"Entutorado de madera";;25/04/2025;;
"21";"Entutorado de hormigón";;25/04/2025;;
"22";"Entutorado metálico";;25/04/2025;;
"23";"Malla de protección antigranizo";;26/11/2025;;
"24";"Malla de protección antilluvia";;26/11/2025;;
"25";"Malla de sombreado";;26/11/2025;;
"26";"Tunel de plástico";;26/11/2025;;
"27";"Multi tunel de plástico film";;26/11/2025;;
"28";"Multi tunel de plástico rígido";;26/11/2025;;
"29";"Sustrato de perlita";;25/04/2025;;
"30";"Sustrato de lana de roca";;25/04/2025;;
"31";"Sustrato de fibra de coco";;25/04/2025;;
"32";"Sustrato de turba";;25/04/2025;;
"33";"Hidropónico";;26/11/2025;;
