"Código SIEX";"Código Europeo";"Sustancia";"Número CAS";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"1049";"ACEFATO";"30560-19-1";03/12/2025;;
"2";"1050";"ACETAMIPRID";"135410-20-7";03/12/2025;;
"3";"1056";"ACRINATRINA";"101007-06-1";03/12/2025;;
"4";"313";"ALDICARB";"116-06-3";03/12/2025;;
"5";;"ALDICARB SULFONA";"1646-88-4";03/12/2025;;
"6";;"ALDICARB SULFÓXIDO";"1646-87-3";03/12/2025;;
"7";"315";"ALDRIN";"309-00-2";03/12/2025;;
"8";;"ALFA-ENDOSULFAN";"959-98-8";03/12/2025;;
"9";"705";"AMETOCTRADINA";"865318-97-4";03/12/2025;;
"10";"416";"ATRAZINA";"1912-24-9";03/12/2025;;
"11";"424";"AZINFOS-ETILO";"2642-71-9";03/12/2025;;
"12";"425";"AZINFÓS-METILO";"86-50-0";03/12/2025;;
"13";"428";"AZOXISTROBINA";"131860-33-8";03/12/2025;;
"14";"1345";"BENALAXIL";"71626-11-4";03/12/2025;;
"15";"443";"BENDIOCARB";"22781-23-3";03/12/2025;;
"16";;"BETA-ENDOSULFAN";"33213-65-9";03/12/2025;;
"17";"460";"BIFENTRINA";"82657-04-3";03/12/2025;;
"18";"1393";"BITERTANOL";"55179-31-2";03/12/2025;;
"19";"675";"BIXAFENO";"581809-46-3";03/12/2025;;
"20";"472";"BOSCALIDA";"188425-85-6";03/12/2025;;
"21";"475";"BROMACIL";"314-40-9";03/12/2025;;
"22";"481";"BROMOFÓS-ETILO";"4824-78-6";03/12/2025;;
"23";"482";"BROMOPROPILATO";"18181-80-1";03/12/2025;;
"24";"484";"BROMUCONAZOL";"116255-48-2";03/12/2025;;
"25";"485";"BUPIRIMATO";"41483-43-6";03/12/2025;;
"26";"486";"BUPROFECINA";"69327-76-0";03/12/2025;;
"27";"488";"BUTOCARBOXIM";"34681-10-2";03/12/2025;;
"28";"489";"BUTOXICARBOXIM";"34681-23-7";03/12/2025;;
"29";"491";"CADUSAFOS";"95465-99-9";03/12/2025;;
"30";"504";"CAPTAFOL";"2425-06-1";03/12/2025;;
"31";"505";"CAPTAN";"133-06-02";03/12/2025;;
"32";"832";"CARBARIL";"63-25-2";03/12/2025;;
"33";"506";"CARBENDAZIMA";"10605-21-7";03/12/2025;;
"34";"512";"CARBOFENOTIÓN";"786-19-6";03/12/2025;;
"35";"508";"CARBOFURANO";"1563-66-2";03/12/2025;;
"36";;"CARBOFURANO-3-HIDROXI";"16655-82-6";03/12/2025;;
"37";"514";"CARBOXINA";"5234-68-4";03/12/2025;;
"38";"833";"CIFLUFENAMIDA";"180409-60-3";03/12/2025;;
"39";"589";"CIFLUTRIN";"68359-37-5";03/12/2025;;
"40";"593";"CIMOXANILO";"57966-95-7";03/12/2025;;
"41";"834";"CIPERMETRINA";"52315-07-8";03/12/2025;;
"42";"594";"CIPROCONAZOL";"94361-06-5";03/12/2025;;
"43";"1023";"CIPRODINILO";"121552-61-2";03/12/2025;;
"44";"596";"CIROMAZINA";"66215-27-8";03/12/2025;;
"45";"564";"CLOFENTEZINA";"74115-24-5";03/12/2025;;
"46";"526";"CLORANTRANILIPROLE";"500008-45-7";03/12/2025;;
"47";"1352";"CLORDANO";"12789-03-6";03/12/2025;;
"48";;"CLORDANO OXI";"27304-13-8";03/12/2025;;
"49";"533";"CLORFENAPIR";"122453-73-0";03/12/2025;;
"50";"1020";"CLORFENVINFÓS";"470-90-6";03/12/2025;;
