"Código SIEX";"Descripción";Fecha de alta;Fecha de modificación;Fecha de baja
"0";"Sin laboreo";25/11/2025;;
"1";"Laboreo";25/11/2025;;
"2";"Nivelación en cultivos bajo agua";25/11/2025;;
"3";"Caballones y tablas en cultivos bajo agua";25/11/2025;;
"4";"Escarda (Eliminación de vegetación por medios mecánicos)";25/11/2025;;
"5";"Desbroce y siega";25/11/2025;26/11/2025;
"6";"Mantenimiento del drenaje";25/11/2025;;
"7";"Poda";25/11/2025;;
"8";"Aclareo";25/11/2025;;
"9";"Entutorado";25/11/2025;;
"10";"Injerto";25/11/2025;;
"11";"Eliminación de restos de poda";17/07/2026;;
"12";"Poda en verde";17/07/2026;;
"13";"Rulado";17/07/2026;;
