"Código UNE";"Descripción"
"0000000_88";"Máquinas sin clasificar"
"010102010";"Motores diésel"
"010102020";"Motores gasolina"
"010102030";"Motores petróleo"
"010102040";"Motores gas licuado"
"010102050";"Motores de hidrógeno"
"010103010";"Motores eléctricos de corriente alterna"
"010103020";"Motores eléctricos de corriente continua"
"010104000";"Motores hidráulicos (oleohidráulicos)"
"010201010";"Tractores con cadenas de metal"
"010201020";"Tractores con bandas de goma"
"010202000";"Tractores semi-cadenas (semi-orugas)"
"010203011";"Tractores de ruedas no articulados de simple tracción ancho normal"
"010203012";"Tractores de ruedas no articulados de simple tracción estrecho"
"010203022";"Tractores de ruedas no articulados de doble tracción estrecho"
"010203041";"Tractores de ruedas articulados ancho normal"
"010203042";"Tractores de ruedas articulados estrecho"
"010203051";"ATV, quad"
"010203052";"UTV"
"010204000";"Micro-tractores (para jardín)"
"010205010";"Motocultores de cadenas"
"010205020";"Motocultores de dos ruedas"
"010205030";"Motoazadas"
"010205040";"Motoguadañadoras"
"010206010";"Tractores viñeros"
"010206020";"Tractores fruteros"
"010206030";"Tractores forestales"
"010301000";"Tractores porta-aperos"
"010302000";"Tractores de plataforma"
"010303000";"Tractores zancudos"
"010304000";"Vehículos de baja presión sobre el suelo"
"010401000";"Bastidores autopropulsados"
"010402000";"Portadores zancudos"
"010403000";"Portadores para invernaderos"
"010801000";"Enganches (transmisión de fuerza)"
"010900000";"Otras máquinas de accionamiento y tracción"
"0110100_88";"Motores de combustión externa"
"0110230_88";"Motores de combustión interna (petróleo)"
"0110240_88";"Motores de combustión interna (gas licuado)"
"0110400_88";"Motores hidráulicos (oleohidráulicos)"
"0110500_88";"Motores de agua (ruedas y turbinas)"
"0110600_88";"Aeromotores"
"0120100_88";"Tractores de cadenas"
"0120200_88";"Tractores semi-cadenas (semi-orugas)"
"0120300_88";"Tractores de ruedas"
"0120310_88";"Tractores de ruedas simple tracción"
"0120311_88";"Tractores de ruedas simple tracción normal"
"0120312_88";"Tractores de ruedas simple tracción estrecho"
"0120320_88";"Tractores de ruedas doble tracción"
"0120321_88";"Tractores de ruedas doble tracción normal"
"0120322_88";"Tractores de ruedas doble tracción estrecho"
"0120323_88";"Tractores de ruedas doble tracción articulado normal"
"0120324_88";"Tractores de ruedas doble tracción articulado estrecho"
"0120330_88";"Tractores de ruedas de más de dos ejes motrices"
"0120340_88";"Tractores de ruedas espec. (tamden, triciclo, autonivelante)"
"0120350_88";"Otros vehículos con homologación de tractor"
"0120400_88";"Micro-tractores (para jardín)"
"0120500_88";"Motocultores"
"0120510_88";"Motocultores de cadenas"
"0120520_88";"Motocultores de dos ruedas"
"0120530_88";"Motocultores de una rueda"
"0120540_88";"Motoazadas"
"0130100_88";"Tractores porta-aperos"
"0130200_88";"Tractores de plataforma"
"0130300_88";"Tractores zancudos"
"0130400_88";"Vehículos de baja presión sobre el suelo"
"0140100_88";"Bastidores autopropulsados"
"0140200_88";"Portadores zancudos"
"0140300_88";"Portadores para invernaderos"
"0150100_88";"Instalaciones de tracción por cable"
"0150200_88";"Moto-cabestrantes"
"0160000_88";"Vehículos de efecto suelo (colchón de aire)"
"0170100_88";"Aviones agrícolas"
"0170200_88";"Helicópteros"
"0170300_88";"Ultra-ligeros motorizados"
"0180000_88";"Enganches, acoplamientos y transmisiones"
"0190000_88";"Otras máquinas motrices de tracción"
"020203000";"Palas desbrozadoras"
"020204000";"Derribadores de árboles"
"020205000";"Cabrestantes"
"020206000";"Rodillos desbrozadores"
"020207000";"Desbrozadoras de eje vertical"
"020208000";"Desbrozadoras de eje horizontal"
"020209000";"Desbrozadoras de mano"
"020210000";"Picadores forestales"
"020211000";"Rastrillos desbrozadores"
"020212000";"Rastrillos para leña"
"020213000";"Empujador de hoja"
"020214000";"Trituradores de residuos vegetales"
"020215000";"Barredora de residuos vegetales"
"020303000";"Traíllas"
"020304000";"Palas cargadoras"
"020305000";"Arrancadoras de raíces"
"020306000";"Machacadores de piedras"
"020307000";"Hileradores de piedras"
"020308000";"Recogedoras-cargadoras de piedras"
"020309000";"Extirpadores de raíces"
"020310000";"Niveladoras"
"020311000";"Rastrillos despedregadores"
"020405000";"Zanjadoras (ditchers)"
"020406000";"Zanjadoras (trenchers) de sección rectangular"
"020407000";"Colocadoras de drenes"
"020408000";"Rellenadoras de zanjas"
"020409000";"Zanjadora-colocadora de drenes"
"020410000";"Arados topo"
"020411000";"Zanjadora-colocadora de tuberías"
"020501000";"Excavadoras"
"020502000";"Volquetes autopropulsados (dumpers)"
"020503000";"Motoniveladoras"
"020504000";"Rodillos compactadores"
"020505000";"Mezcladores de suelo (equipos caminos rurales)"
"020506000";"Estabilizadores de suelo"
"020507000";"Mezcladores portátiles"
"020508000";"Retroexcavadora"
"020509000";"Retrocargadora (mixta)"
"020510000";"Bulldozer"
"020900000";"Otros equipos para preparación y conservación del suelo"
"0210100_88";"Equipos para prospección hidrogeológica"
"0210200_88";"Barrenas y taladros"
"0210300_88";"Registradores de sondeo"
"0210400_88";"Equipos de perforación"
"0220100_88";"Equipos para corta de árboles para desmontes"
"0220200_88";"Cargadores frontales para desmonte"
