"Código SIEX";"Unidades de medida";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"m2";20/09/2023;;
"2";"ha";20/09/2023;;
"3";"m3";20/09/2023;;
"4";"L";20/09/2023;;
"5";"kg";20/09/2023;;
"6";"t";20/09/2023;;
"7";"cm";20/09/2023;;
"8";"m";20/09/2023;;
"9";"Individuos";20/09/2023;;
"10";"Plantas";20/09/2023;;
"11";"Unidades";20/09/2023;;
"12";"kg/L";20/09/2023;;
"13";"kg/t";20/09/2023;;
"14";"%";20/09/2023;;
"15";"Unidades/m²";20/09/2023;05/06/2025;
"16";"Unidades/ha";20/09/2023;05/06/2025;
"17";"kg/ha";20/09/2023;;
"18";"L/ha";20/09/2023;;
"19";"m3/ha";20/09/2023;;
"20";"mg/L";20/09/2023;;
"21";"ppm";20/09/2023;;
"22";"Difusores/ha";20/09/2023;;
"23";"Tabletas/ha";20/09/2023;;
"24";"Trampas/ha";20/09/2023;;
"25";"Difusores";20/09/2023;;
"26";"Tabletas";20/09/2023;;
"27";"Trampas";20/09/2023;;
"28";"m2 malla/ha";03/10/2023;;
"29";"t/ha";14/11/2023;;
"30";"m3/m3";14/11/2023;;
"31";"L/m3";14/11/2023;;
"32";"kg/m3";14/11/2023;;
"33";"t/m3";14/11/2023;;
"34";"Unidades/m3";14/11/2023;;
"35";"Difusores/m3";14/11/2023;;
"36";"Tabletas/m3";14/11/2023;;
"37";"Trampas/m3";14/11/2023;;
"38";"kg/kg";14/11/2023;;
"39";"L/kg";14/11/2023;;
"40";"CV";26/12/2023;;
"41";"kW";26/12/2023;;
"42";"kWh";26/12/2023;;
"43";"mg/dispensador";13/03/2024;;
"44";"mg/difusor";13/03/2024;;
"45";"€/ha";04/07/2024;;
"46";"€/cabeza";04/07/2024;;
"47";"€/colmena";04/07/2024;;
"48";"g";02/09/2024;;
"49";"g/ha";02/09/2024;;
"50";"g/m3";02/09/2024;;
"51";"ml";24/10/2024;;
"52";"ml/kg";24/10/2024;;
"53";"€";19/12/2024;;
"54";"Unidades de semilla";11/02/2025;;
"55";"Dispensadores";28/04/2025;;
"56";"Dispensadores/ha";28/04/2025;;
"57";"mg/tableta";28/04/2025;28/04/2025;
"58";"mg/trampa";28/04/2025;;
"59";"L/m2";05/06/2025;;
"60";"kg/m2";05/06/2025;;
"61";"Difusores/m2";05/06/2025;;
"62";"Tabletas/m2";05/06/2025;;
"63";"Trampas/m2";05/06/2025;;
"64";"cc/hL";31/10/2025;;
"65";"g/hL";31/10/2025;;
"66";"Personas";11/03/2026;;
"67";"Trabajadores/as";11/03/2026;;
"68";"Años";11/03/2026;;
"69";"Semestres";11/03/2026;;
"70";"Cuatrimestres";11/03/2026;;
"71";"Trimestres";11/03/2026;;
"72";"Meses";11/03/2026;;
"73";"Días";11/03/2026;;
"74";"Horas";11/03/2026;;
"75";"Minutos";11/03/2026;;
"76";"Segundos";11/03/2026;;
"77";"cc";11/03/2026;;
"78";"cc/m2";11/03/2026;;
"79";"ml/m2";11/03/2026;;
"80";"g/m2";11/03/2026;;
"81";"cc/m3";11/03/2026;;
"82";"ml/m3";11/03/2026;;
